iter	Passed	Remaining
702	65237	27561
703	65323	27465
704	65406	27368
705	65499	27276
706	65598	27185
707	65707	27099
708	65786	27001
709	65883	26910
710	65951	26807
711	66022	26705
712	66102	26607
713	66204	26519
714	66308	26430
715	66394	26335
716	66468	26235
717	66584	26151
718	66686	26062
719	66787	25973
720	66865	25874
721	66974	25788
722	67048	25688
723	67123	25588
724	67185	25484
725	67249	25380
726	67314	25277
727	67380	25175
728	67467	25080
729	67551	24984
730	67658	24897
731	67755	24806
732	67853	24716
733	67937	24620
734	68013	24521
735	68117	24433
736	68271	24363
737	68363	24270
738	68455	24177
739	68587	24098
740	68711	24016
741	68856	23941
742	68933	23843
743	69016	23747
744	69098	23651
745	69153	23545
746	69206	23439
747	69296	23346
748	69369	23246
749	69440	23146
750	69519	23049
751	69603	22954
752	69721	22870
753	69883	22800
754	70034	22726
755	70226	22665
756	70380	22592
757	70570	22530
758	70699	22448
759	70766	22347
760	70832	22245
761	70886	22140
762	70966	22043
763	71033	21942
764	71111	21844
765	71183	21745
766	71256	21646
767	71328	21547
768	71404	21449
769	71481	21351
770	71570	21257
771	71687	21171
772	71786	21080
773	71897	20993
774	71997	20902
775	72092	20810
776	72173	20713
777	72285	20626
778	72375	20532
779	72475	20441
780	72579	20351
781	72669	20258
782	72768	20167
783	72862	20074
784	72951	19980
785	73084	19898
786	73188	19808
787	73325	19727
788	73433	19638
789	73547	19550
790	73670	19465
791	73770	19374
792	73873	19283
793	73971	19191
794	74085	19103
795	74185	19012
796	74269	18916
797	74368	18825
798	74485	18737
799	74579	18644
800	74702	18558
801	74821	18472
802	74920	18380
803	75028	18290
804	75136	18200
805	75262	18115
806	75369	18025
807	75484	17936
808	75570	17841
809	75634	17741
810	75715	17645
811	75772	17543
812	75846	17445
813	75922	17348
814	75995	17250
815	76072	17153
816	76143	17055
817	76217	16958
818	76292	16860
819	76368	16763
820	76439	16665
821	76500	16565
822	76568	16467
823	76633	16368
824	76720	16274
825	76803	16179
826	76898	16086
827	76988	15992
828	77061	15895
829	77152	15802
830	77253	15710
831	77339	15616
832	77422	15521
833	77530	15431
834	77723	15358
835	77797	15261
836	77876	15165
837	77945	15068
838	78013	14970
839	78099	14876
840	78200	14784
841	78365	14705
842	78466	14613
843	78551	14518
844	78630	14423
845	78713	14328
846	78792	14232
847	78870	14137
848	78957	14043
849	79046	13949
850	79130	13854
